name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Smith Joseph Clarendon,M,1778–1810,1778,1810,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-clarendon-smith-2274
Smith Keir,M,1950–2007,1950,2007,"Gravesend, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/keir-smith-12131
Smith Kiki,F,born 1954,1954,1913,"Noremburg, Deutschland",Unknown,http://www.tate.org.uk/art/artists/kiki-smith-2280
Smith Melanie,F,born 1965,1965,1913,"Poole, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/melanie-smith-9594
Smith Richard,M,born 1931,1931,1913,"Letchworth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/richard-smith-1959
Smith Sidney Robert James,M,1857–1913,1857,1913,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sidney-robert-james-smith-509
Smith Sir Matthew,M,1879–1959,1879,1959,"Halifax, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-matthew-smith-1958
Smith Stephanie,M,"born 1968, born 1961",1961,1822,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/stephanie-smith-2735
Smith Thomas,M,active 1780–1822,1780,1822,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thomas-smith-2226
Smith W. Eugene,M,1918–1978,1918,1978,"Wichita, United States","Tucson, United States",http://www.tate.org.uk/art/artists/w-eugene-smith-12052
Smithson Robert,M,1938–1973,1938,1973,"Passaic, United States","Amarillo, United States",http://www.tate.org.uk/art/artists/robert-smithson-4541
Smythe Lionel Percy,M,1840–1918,1840,1918,"London, United Kingdom","Wimereux, France",http://www.tate.org.uk/art/artists/lionel-percy-smythe-510
Soares Valeska,F,born 1957,1957,1681,Brasil,Unknown,http://www.tate.org.uk/art/artists/valeska-soares-7516
Sobrino Francisco,M,born 1932,1932,1681,"Guadalajara, España",Unknown,http://www.tate.org.uk/art/artists/francisco-sobrino-1960
Soest Gilbert,M,c.1605–1681,1605,1681,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gilbert-soest-511
Solakov Nedko,M,born 1957,1957,1771,"Cherven Bryag, Bulgaria",Unknown,http://www.tate.org.uk/art/artists/nedko-solakov-12133
Soldi Andrea,M,c.1703–71,1703,1771,"Firenze, Italia","London, United Kingdom",http://www.tate.org.uk/art/artists/andrea-soldi-3823
Solien T.L.,M,born 1949,1949,1862,"Fargo, United States",Unknown,http://www.tate.org.uk/art/artists/tl-solien-6672
Solomon Abraham,M,1824–1862,1824,1862,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/abraham-solomon-512
Solomon Simeon,M,1840–1905,1840,1905,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/simeon-solomon-513
Solomon Solomon J.,M,1860–1927,1860,1927,"London, United Kingdom","Kent, United Kingdom",http://www.tate.org.uk/art/artists/solomon-j-solomon-1961
Somerscales Thomas J.,M,1842–1927,1842,1927,"Kingston-Upon-Hull, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thomas-j-somerscales-514
Somov Konstantin,M,1869–1939,1869,1939,"Sankt-Peterburg, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/konstantin-somov-1962
Sone Yutaka,M,born 1965,1965,1974,"Shizuoka, Nihon",Unknown,http://www.tate.org.uk/art/artists/yutaka-sone-6628
Sonnier Keith,M,born 1941,1941,1974,"Mamou, United States",Unknown,http://www.tate.org.uk/art/artists/keith-sonnier-11853
Sorel Agathe,F,born 1935,1935,1974,"Budapest, Magyarország",Unknown,http://www.tate.org.uk/art/artists/agathe-sorel-1963
Sorman Steven,M,born 1948,1948,1974,"Minneapolis, United States",Unknown,http://www.tate.org.uk/art/artists/steven-sorman-6673
Sorrell Alan,M,1904–1974,1904,1974,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/alan-sorrell-1964
Sorrell Elizabeth,F,1916–1991,1916,1991,"Redcar and Cleveland, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/elizabeth-sorrell-1965
Sosnowska Monika,M,born 1972,1972,2005,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/monika-sosnowska-13098
Soto Jesus Rafael,M,1923–2005,1923,2005,"Ciudad Bolívar, Venezuela",Unknown,http://www.tate.org.uk/art/artists/jesus-rafael-soto-1966
Souch John,M,1594–1644 or 5,1594,1644,"Ormskirk, United Kingdom","Chester, United Kingdom",http://www.tate.org.uk/art/artists/john-souch-515
Soukop Willi,M,1907–1995,1907,1995,"Wien, Österreich",Unknown,http://www.tate.org.uk/art/artists/willi-soukop-1967
Soulages Pierre,M,born 1919,1919,1944,"Rodez, France",Unknown,http://www.tate.org.uk/art/artists/pierre-soulages-1968
Southall Derek,M,born 1930,1930,1944,"Coventry, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/derek-southall-1969
Southall Joseph Edward,M,1861–1944,1861,1944,"Nottingham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/joseph-edward-southall-1970
Soutine Chaïm,M,1893–1943,1893,1943,"Minskaya Oblast', Belarus","Paris, France",http://www.tate.org.uk/art/artists/chaim-soutine-1971
Souza F.N.,M,1924–2002,1924,2002,"Goa, Bharat",Unknown,http://www.tate.org.uk/art/artists/fn-souza-1972
Spear Ruskin,M,1911–1990,1911,1990,"Saugus, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/ruskin-spear-1973
Speed Harold,M,1872–1957,1872,1957,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/harold-speed-1974
Spencelayh Charles,M,1865–1958,1865,1958,"Rochester, United Kingdom","Northampton, United Kingdom",http://www.tate.org.uk/art/artists/charles-spencelayh-1975
Spencer Watson George,M,1869–1934,1869,1934,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-spencer-watson-2124
Spencer Gilbert,M,1892–1979,1892,1979,"Cookham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gilbert-spencer-1976
Spencer Jean,F,1942–1998,1942,1998,"Surrey, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/jean-spencer-2697
Spencer Lady,F,18th century,1700,1799,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/lady-spencer-2532
Spencer Sir Stanley,M,1891–1959,1891,1959,"England, United Kingdom","Cliveden, United States",http://www.tate.org.uk/art/artists/sir-stanley-spencer-1977
Spencer Thomas,M,active 1740–1756,1740,1756,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/thomas-spencer-516
Spender John Humphrey,M,1910–2005,1910,2005,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-humphrey-spender-1978
Spero Nancy,F,1926–2009,1926,2009,"Cleveland, United States","Manhattan Island, United States",http://www.tate.org.uk/art/artists/nancy-spero-2399
Spilsbury Maria,F,1777–c.1823,1777,1823,"London, United Kingdom",Éire,http://www.tate.org.uk/art/artists/maria-spilsbury-517
Spoerri Daniel,M,born 1930,1930,1967,"Galati, România",Unknown,http://www.tate.org.uk/art/artists/daniel-spoerri-1979
Spruance Benton,M,1904–1967,1904,1967,"Philadelphia, United States","Philadelphia, United States",http://www.tate.org.uk/art/artists/benton-spruance-1980
Spurrier Steven,M,1878–1961,1878,1961,"London, United Kingdom","Saint John's Wood, United Kingdom",http://www.tate.org.uk/art/artists/steven-spurrier-1981
St John Long John St John,M,1798–1834,1798,1834,"Limerick, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/john-st-john-long-470
Stael Nicolas de,M,1914–1955,1914,1955,"Sankt-Peterburg, Rossiya","Antibes, France",http://www.tate.org.uk/art/artists/nicolas-de-stael-1982
Stahly François,M,1911–2006,1911,2006,"Konstanz, Deutschland","Paris, France",http://www.tate.org.uk/art/artists/francois-stahly-1983
Stamos Theodorus,M,1922 – 1997,1922,1997,"New York, United States","Ioánnina, Ellás",http://www.tate.org.uk/art/artists/theodorus-stamos-1984
Stanfield Clarkson Frederick,M,1793–1867,1793,1867,"Sunderland, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/clarkson-frederick-stanfield-518
Stanhope John Roddam Spencer,M,1829–1908,1829,1908,"England, United Kingdom","Firenze, Italia",http://www.tate.org.uk/art/artists/john-roddam-spencer-stanhope-519
Stanley Lady Dorothy,F,1855–1926,1855,1926,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lady-dorothy-stanley-520
Starczewski Antoni,M,1924–2000,1924,2000,"Lódz, Polska",Unknown,http://www.tate.org.uk/art/artists/antoni-starczewski-1985
Stark Frances,F,born 1967,1967,1859,"Newport Beach, United States",Unknown,http://www.tate.org.uk/art/artists/frances-stark-10462
Stark James,M,1794–1859,1794,1859,"Norwich, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-stark-521
Stark Robert,M,1853–1931,1853,1931,"Torquay, United Kingdom","British Columbia, Canada",http://www.tate.org.uk/art/artists/robert-stark-522
Starkey Hannah,F,born 1971,1971,1925,"Belfast, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/hannah-starkey-2683
Starling Simon,M,born 1967,1967,1925,"Epsom, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/simon-starling-7052
Starr Georgina,F,born 1968,1968,1925,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/georgina-starr-2661
Starr Sydney,M,1857–1925,1857,1925,"Kingston-Upon-Hull, United Kingdom","New York, United States",http://www.tate.org.uk/art/artists/sydney-starr-523
Startup Peter,M,1921–1976,1921,1976,"Fulham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/peter-startup-1986
Staton Sarah,F,born 1961,1961,1988,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sarah-staton-2594
Stazewski Henryk,M,1894–1988,1894,1988,"Warszawa, Polska","Warszawa, Polska",http://www.tate.org.uk/art/artists/henryk-stazewski-1987
Steadman Ralph,M,born 1936,1936,1942,"Wallasey, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ralph-steadman-1988
Steele Jeffrey,M,born 1931,1931,1942,"Cardiff, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/jeffrey-steele-1989
Steer Philip Wilson,M,1860–1942,1860,1942,"Birkenhead, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/philip-wilson-steer-1990
Stein Ronald,M,born 1930,1930,1923,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/ronald-stein-1991
Steinbach Haim,M,born 1944,1944,1923,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/haim-steinbach-5227
Steinlen Théophile-Alexandre,M,1859–1923,1859,1923,"Lausanne, Schweiz","Paris, France",http://www.tate.org.uk/art/artists/theophile-alexandre-steinlen-1992
Steir Pat,F,born 1940,1940,1907,"Newark, United States",Unknown,http://www.tate.org.uk/art/artists/pat-steir-1993
Stella Frank,M,born 1936,1936,1907,"Malden, United States",Unknown,http://www.tate.org.uk/art/artists/frank-stella-1994
Stephens Frederic George,M,1828–1907,1828,1907,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frederic-george-stephens-524
Stephenson Ian,M,1934–2000,1934,2000,"Meadowfield, United States",Unknown,http://www.tate.org.uk/art/artists/ian-stephenson-1995
Stephenson John Cecil,M,1889–1965,1889,1965,"Bishop Auckland, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-cecil-stephenson-1996
Stern Grete,F,1904–1999,1904,1999,Deutschland,"Buenos Aires, Argentina",http://www.tate.org.uk/art/artists/grete-stern-15589
Sterne Hedda,F,1910–2011,1910,2011,"Bucuresti, România","Manhattan Island, United States",http://www.tate.org.uk/art/artists/hedda-sterne-16798
Sterne Maurice,M,1878–1957,1878,1957,"Liepaja, Latvija","Mount Kisco, United States",http://www.tate.org.uk/art/artists/maurice-sterne-1997
Stevens Alfred,M,1817–1875,1817,1875,"Dorset, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/alfred-stevens-525
Stevens Norman,M,1937–1988,1937,1988,"Bradford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-stevens-1998
Stevenson James,M,1881–1937,1881,1937,"Chester, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-stevenson-1999
Stevenson Robert Alan Mowbray,M,1847–1900,1847,1900,"Edinburgh, United Kingdom","Chiswick, United Kingdom",http://www.tate.org.uk/art/artists/robert-alan-mowbray-stevenson-526
Stezaker John,M,born 1949,1949,1980,"Worcester, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-stezaker-2000
Still Clyfford,M,1904–1980,1904,1980,"Grandin, United States","Baltimore, United States",http://www.tate.org.uk/art/artists/clyfford-still-2001
Stingel Rudolf,M,born 1956,1956,1935,"Merano, Italia",Unknown,http://www.tate.org.uk/art/artists/rudolf-stingel-11279
Stokes Adrian,M,1854–1935,1854,1935,"England, United Kingdom",London,http://www.tate.org.uk/art/artists/adrian-stokes-527
Stokes Marianne,F,1855–1927,1855,1927,"Graz, Österreich","London, United Kingdom",http://www.tate.org.uk/art/artists/marianne-stokes-528
Stone Marcus,M,1840–1921,1840,1921,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/marcus-stone-529
Storey George Adolphus,M,1834–1919,1834,1919,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-adolphus-storey-530
Stothard Thomas,M,1755–1834,1755,1834,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/thomas-stothard-531
Stott of Oldham William,M,1857–1900,1857,1900,"Oldham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/william-stott-of-oldham-533
Stott Edward,M,1859–1918,1859,1918,Rochdale,"England, United Kingdom",http://www.tate.org.uk/art/artists/edward-stott-532
Strakhov-Braslavsky Adolf,M,1896–1979,1896,1979,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/adolf-strakhov-braslavsky-5739
