name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
Abakanowicz Magdalena,F,born 1930,1930,1911,Polska,Unknown,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
Abbey Edwin Austin,M,1852–1911,1852,1911,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
Abbott Berenice,F,1898–1991,1898,1991,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
Abbott Lemuel Francis,M,1760–1803,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
Abrahams Ivor,M,born 1935,1935,1993,"Wigan, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ivor-abrahams-622
Absalon,M,1964–1993,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
Abts Tomma,F,born 1967,1967,2014,"Kiel, Deutschland",Unknown,http://www.tate.org.uk/art/artists/tomma-abts-9550
Acconci Vito,M,born 1940,1940,2014,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/vito-acconci-623
Ackling Roger,M,1947–2014,1947,2014,"Isleworth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/roger-ackling-624
Ackroyd Norman,M,born 1938,1938,1792,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-ackroyd-625
Adam Robert,M,1728–1792,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
Adams Harry William,M,1868–1947,1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
Adams Norman,M,1927–2005,1927,2005,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-adams-627
Adams Robert,M,1917–1984,1917,1984,"Northampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robert-adams-628
Adeney Bernard,M,1878–1966,1878,1966,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bernard-adeney-629
Adler Jankel,M,1895–1949,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
Adshead Mary,F,1904–1995,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
Adzak Roy,M,1927–1987,1927,1987,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
Afro,M,1912–1976,1912,1976,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
Agar Eileen,F,1899–1991,1899,1991,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
Agasse Jacques Laurent,M,1767–1849,1767,1849,"Genève, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
Ahtila Eija-Liisa,F,born 1959,1959,2009,"Hämeenlinna, Suomi",Unknown,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
Ai Weiwei,M,born 1957,1957,2009,"Beijing, Zhonghua",Unknown,http://www.tate.org.uk/art/artists/ai-weiwei-8208
Aitchison Craigie,M,1926–2009,1926,2009,"Edinburgh, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/craigie-aitchison-634
Ajmone Giuseppe,M,1923–2005,1923,2005,"Carpignano Sesia, Italia",Unknown,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
Aksel Erdag,M,born 1953,1953,1994,"Izmir, Türkiye",Unknown,http://www.tate.org.uk/art/artists/erdag-aksel-14744
Al-Ani Jananne,F,born 1966,1966,1994,"Kirkuk, Al-‘Iraq",Unknown,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
Albers Anni,F,1899–1994,1899,1994,"Berlin, Deutschland","Orange, United States",http://www.tate.org.uk/art/artists/anni-albers-3067
Albers Josef,M,1888–1976,1888,1976,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
Albright Ivan,M,1897–1983,1897,1983,"Chicago, United States","Woodstock, United States",http://www.tate.org.uk/art/artists/ivan-albright-637
Aldridge John,M,1905–1983,1905,1983,"Greenwich, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-aldridge-638
Alechinsky Pierre,M,born 1927,1927,1926,"Bruxelles, België",Unknown,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
Alexander Edwin,M,1870–1926,1870,1926,"Edinburgh, United Kingdom","Musselburgh, United Kingdom",http://www.tate.org.uk/art/artists/edwin-alexander-640
Alexander William,M,1767–1816,1767,1816,"Maidstone, United Kingdom","Maidstone, United Kingdom",http://www.tate.org.uk/art/artists/william-alexander-2470
Alimpiev Victor,M,born 1973,1973,1894,"Moskva, Rossiya",Unknown,http://www.tate.org.uk/art/artists/victor-alimpiev-11315
Alken Family,M,1756 –1894,1756,1894,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/alken-family-2472
Alken Henry Thomas,M,1785–1851,1785,1851,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-thomas-alken-3
Alken Samuel Senior,M,1756–1815,1756,1815,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-alken-senior-2471
Allan David,M,1744–1796,1744,1796,"Alloa, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/david-allan-2473
Allan Julian Phelps,F,1892–1996,1892,1996,"Southampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/julian-phelps-allan-641
Allan Sir William,M,1782–1850,1782,1850,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-allan-4
Allen George Warner,M,1916–1988,1916,1988,"Paris, France","Wallingford, United Kingdom",http://www.tate.org.uk/art/artists/george-warner-allen-2304
Allen Joseph William,M,1803–1852,1803,1852,"Lambeth, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-william-allen-5
Allen Phillip,M,born 1967,1967,1999,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/phillip-allen-12153
Allen Richard,M,1933–1999,1933,1999,"Worcestershire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/richard-allen-12520
Alley Anthea,F,1927–1993,1927,1993,"Seremban, Malaysia",Unknown,http://www.tate.org.uk/art/artists/anthea-alley-642
Allington Edward,M,born 1951,1951,1959,"Cumbria, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/edward-allington-643
Allinson Adrian,M,1890–1959,1890,1959,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/adrian-allinson-644
Allom Thomas,M,1804–1872,1804,1872,"London, United Kingdom","Barnes, United Kingdom",http://www.tate.org.uk/art/artists/thomas-allom-2273
Allora Jennifer,F,born 1974,1974,1912,"Philadelphia, United States",Unknown,http://www.tate.org.uk/art/artists/jennifer-allora-6259
Alma-Tadema Sir Lawrence,M,1836–1912,1836,1912,"Dronrijp, Nederland","Wiesbaden, Deutschland",http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6
Almeida Helena,F,born 1934,1934,1969,"Lisboa, Portugal",Unknown,http://www.tate.org.uk/art/artists/helena-almeida-12989
Almond Darren,M,born 1971,1971,1969,"Wigan, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/darren-almond-2657
Althamer Pawel,M,born 1967,1967,1969,"Warszawa, Polska",Unknown,http://www.tate.org.uk/art/artists/pawel-althamer-7620
Altoon John,M,1925–1969,1925,1969,"Los Angeles, United States",Los Angeles,http://www.tate.org.uk/art/artists/john-altoon-645
Alÿs Francis,M,born 1959,1959,1752,"Antwerpen, België",Unknown,http://www.tate.org.uk/art/artists/francis-alys-4427
Amiconi Giacomo,M,1682–1752,1682,1752,"Napoli, Italia","Madrid, España",http://www.tate.org.uk/art/artists/giacomo-amiconi-7
Amiet Cuno,M,1868–1961,1868,1961,Solothurn,Schweiz,http://www.tate.org.uk/art/artists/cuno-amiet-646
Amorales Carlos,M,born 1970,1970,2002,"Ciudad de México, México",Unknown,http://www.tate.org.uk/art/artists/carlos-amorales-7533
Amuchastegui Axel,M,1921–2002,1921,2002,"Córdoba, España",Unknown,http://www.tate.org.uk/art/artists/axel-amuchastegui-647
Amzalag Michael,M,born 1967,1967,1665,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/michael-amzalag-14647
Anderson Hurvin,M,born 1965,1965,1665,"Birmingham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/hurvin-anderson-12583
Anderton Henry,M,c.1630–1665,1630,1665,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/henry-anderton-8
Andrade Tudela Armando,M,born 1975,1975,1982,"Lima, Perú",Unknown,http://www.tate.org.uk/art/artists/armando-andrade-tudela-8961
Andrade Jonathas de,M,born 1982,1982,1982,"Maceió, Brasil",Unknown,http://www.tate.org.uk/art/artists/jonathas-de-andrade-15587
Andre Carl,M,born 1935,1935,1982,"Quincy, United States",Unknown,http://www.tate.org.uk/art/artists/carl-andre-648
Andreenko Michel,M,1894 –1982,1894,1982,"Odessa, Ukrayina","Paris, France",http://www.tate.org.uk/art/artists/michel-andreenko-mikhail-fedorovich-andriicenko-nechytailo-2704
Andrews Michael,M,1928–1995,1928,1995,"Norwich, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/michael-andrews-649
Angellis Peter,M,1685–1734,1685,1734,"Dunkerque, France","Rennes, France",http://www.tate.org.uk/art/artists/peter-angellis-9
Annesley David,M,born 1936,1936,1932,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-annesley-650
Anquetin Louis,M,1861–1932,1861,1932,"Eure, France","Paris, France",http://www.tate.org.uk/art/artists/louis-anquetin-651
Anrep Boris,M,1883–1969,1883,1969,"Sankt-Peterburg, Rossiya",Unknown,http://www.tate.org.uk/art/artists/boris-anrep-652
Ansarinia Nazgol,F,born 1979,1979,1885,"Tehran, Îran",Unknown,http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677
Ansdell Richard,M,1815–1885,1815,1885,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/richard-ansdell-10
Anselmo Giovanni,M,born 1934,1934,2006,"Piemonte, Italia",Unknown,http://www.tate.org.uk/art/artists/giovanni-anselmo-12475
Antin Eleanor,F,born 1935,1935,2006,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/eleanor-antin-11604
Anuszkiewicz Richard,M,born 1930,1930,2006,"Erie, United States",Unknown,http://www.tate.org.uk/art/artists/richard-anuszkiewicz-653
Apóstol Alexander,M,born 1969,1969,2006,"Barquisimeto, Venezuela",Unknown,http://www.tate.org.uk/art/artists/alexander-apostol-10241
Appel Karel,M,1921–2006,1921,2006,"Amsterdam, Nederland","Zürich, Schweiz",http://www.tate.org.uk/art/artists/karel-appel-654
Appelbee Leonard,M,1914–2000,1914,2000,"Fulham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/leonard-appelbee-655
Appleyard Fred,M,1874–1963,1874,1963,"Middlesbrough, United Kingdom","Hampshire, United Kingdom",http://www.tate.org.uk/art/artists/fred-appleyard-656
Araeen Rasheed,M,born 1935,1935,2010,"Karachi, Pakistan",Unknown,http://www.tate.org.uk/art/artists/rasheed-araeen-2364
Arakawa Shusaku,M,1936–2010,1936,2010,"Nagoya, Nihon","New York, United States",http://www.tate.org.uk/art/artists/shusaku-arakawa-657
Araki Nobuyoshi,M,born 1940,1940,1971,"Tokyo, Nihon",Unknown,http://www.tate.org.uk/art/artists/nobuyoshi-araki-2752
Araujo Juan,M,born 1971,1971,1971,"Caracas, Venezuela",Unknown,http://www.tate.org.uk/art/artists/juan-araujo-10494
Arbus Diane,F,1923–1971,1923,1971,"New York, United States","New York, United States",http://www.tate.org.uk/art/artists/diane-arbus-5271
Arcangel Cory,M,born 1978,1978,1964,"Buffalo, United States",Unknown,http://www.tate.org.uk/art/artists/cory-arcangel-12604
Archipenko Alexander,M,1887–1964,1887,1964,"Kiyev, Ukrayina","New York, United States",http://www.tate.org.uk/art/artists/alexander-archipenko-658
Ardizzone Edward,M,1900–1979,1900,1979,"Hai Phìng, Viet Nam","Kent, United Kingdom",http://www.tate.org.uk/art/artists/edward-ardizzone-659
Ardon Mordecai,M,1896–1992,1896,1992,"Tuchów, Polska","Yerushalayim, Mehoz, Yisra'el",http://www.tate.org.uk/art/artists/mordecai-ardon-660
Arikha Avigdor,M,1929–2010,1929,2010,"Radauti, România","Paris, France",http://www.tate.org.uk/art/artists/avigdor-arikha-661
Arman,M,1928–2005,1928,2005,"Nice, France",Unknown,http://www.tate.org.uk/art/artists/arman-armand-fernandez-662
Armfield Maxwell Ashby,M,1881–1972,1881,1972,"Ringwood, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/maxwell-ashby-armfield-663
Armitage Edward,M,1817–1896,1817,1896,"London, United Kingdom","Royal Tunbridge Wells, United Kingdom",http://www.tate.org.uk/art/artists/edward-armitage-11
Armitage Kenneth,M,1916–2002,1916,2002,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/kenneth-armitage-664
Armstead Henry Hugh,M,1828–1905,1828,1905,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/henry-hugh-armstead-12
Armstrong John,M,1893–1973,1893,1973,"Hastings, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-armstrong-665
Arnald George,M,1763–1841,1763,1841,"Berkshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-arnald-13
Arnatt Keith,M,1930–2008,1930,2008,"Oxford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/keith-arnatt-666
Arp Jean,M,1886–1966,1886,1966,"Strasburg, Deutschland","Basel, Schweiz",http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667
Art & Language (Harold Hurrell),M,born 1940,1940,1993,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/art-language-harold-hurrell-16245
Art & Language (Ian Burn),M,1939–1993,1939,1993,"Geelong, Australia",Unknown,http://www.tate.org.uk/art/artists/art-language-ian-burn-16236
Art & Language (Michael Baldwin),M,born 1945,1945,1823,"Chipping Norton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-16838
Art & Language (Michael Baldwin born 1945; Mel Ramsden born 1944),M,,1944,1823,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-born-1945-mel-ramsden-born-1944-2202
Art & Language (Terry Atkinson born 1939; David Bainbridge born 1941; Michael Baldwin born 1945; Harold Hurrell born,M,established 1967/1968,1967,1823,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-david-bainbridge-born-1941-michael-baldwin-born-1945-17138
Art & Language (Terry Atkinson born 1939; Michael Baldwin born 1945),M,,1939,1823,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-michael-baldwin-born-1945-668
Artaud William,M,1763–1823,1763,1823,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-artaud-2474
Artschwager Richard,M,1923 – 2013,1923,2013,"Washington, United States",Unknown,http://www.tate.org.uk/art/artists/richard-artschwager-669
Askew Victor,M,1909–1974,1909,1974,"Rotherham, United Kingdom","Hertfordshire, United Kingdom",http://www.tate.org.uk/art/artists/victor-askew-670
Ataman Kutlug,M,born 1961,1961,1808,"Istanbul, Türkiye",Unknown,http://www.tate.org.uk/art/artists/kutlug-ataman-5229
Atay Fikret,M,born 1974,1974,1808,"Batman, Türkiye",Unknown,http://www.tate.org.uk/art/artists/fikret-atay-6630
Atkins Ed,M,born 1982,1982,1808,United Kingdom,Unknown,http://www.tate.org.uk/art/artists/ed-atkins-15601
Atkins Samuel,M,active 1787–1808,1787,1808,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/samuel-atkins-14
Atkinson Conrad,M,born 1940,1940,1830,"Cumbria, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/conrad-atkinson-671
Atkinson John Augustus,M,1775–1830,1775,1830,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-augustus-atkinson-2412
Atkinson Lawrence,M,1873–1931,1873,1931,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/lawrence-atkinson-672
Atkinson Terry,M,born 1939,1939,1960,"Barnsley, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/terry-atkinson-11829
Atlan Jean-Michel,M,1913–1960,1913,1960,"Qacentina, Al-Jaza'ir","Paris, France",http://www.tate.org.uk/art/artists/jean-michel-atlan-673
Atlas Group,M,established 1999,1999,1962,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/atlas-group-7639
Atlas Charles,M,born 1958,1958,1962,"Saint Louis City, United States",Unknown,http://www.tate.org.uk/art/artists/charles-atlas-15557
Attia Kader,M,born 1970,1970,1962,"Dugny, France",Unknown,http://www.tate.org.uk/art/artists/kader-attia-13674
Atwood Clare,F,1866–1962,1866,1962,"Richmond, United Kingdom","Tenterden, United Kingdom",http://www.tate.org.uk/art/artists/clare-atwood-674
Auerbach Arnold,M,1898–1978,1898,1978,"Liverpool, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/arnold-auerbach-675
Auerbach Frank,M,born 1931,1931,1911,"Berlin, Deutschland",Unknown,http://www.tate.org.uk/art/artists/frank-auerbach-676
Augustyniak Mathias,M,born 1968,1968,1911,"Cavaillon, France",Unknown,http://www.tate.org.uk/art/artists/mathias-augustyniak-14648
Aumonier James,M,1832–1911,1832,1911,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/james-aumonier-15
Austen David,M,born 1960,1960,1973,"Harlow, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-austen-2398
Austin Robert,M,1895–1973,1895,1973,"Leicester, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robert-austin-677
Avedon Richard,M,1923–2004,1923,2004,"New York, United States","San Antonio, United States",http://www.tate.org.uk/art/artists/richard-avedon-5711
Avery Charles,M,born 1973,1973,1965,"Oban, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-avery-10764
Avery Milton,M,1893–1965,1893,1965,"Altmar, United States","New York, United States",http://www.tate.org.uk/art/artists/milton-avery-678
Aviline François Antoine,M,1727–1780,1727,1780,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/francois-antoine-aviline-2714
Aylesford Heneage Finch Fifth Earl of,M,1786–1859,1786,1859,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/heneage-finch-fifth-earl-of-aylesford-2479
Aylesford Heneage Finch Fourth Earl of,M,1751–1812,1751,1812,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/heneage-finch-fourth-earl-of-aylesford-2480
Ayot Pierre,M,born 1943,1943,1975,"Québec, Canada","Québec, Canada",http://www.tate.org.uk/art/artists/pierre-ayot-679
Ayres OBE Gillian,F,born 1930,1930,1975,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gillian-ayres-obe-680
Ayrton Michael,M,1921–1975,1921,1975,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/michael-ayrton-681
Baalbaki Ayman,M,born 1975,1975,1992,"Marj ‘Uyun, Al-Lubnan",Unknown,http://www.tate.org.uk/art/artists/ayman-baalbaki-14743
Bäckström Miriam,F,born 1967,1967,1992,"Stockholm, Sverige",Unknown,http://www.tate.org.uk/art/artists/miriam-backstrom-13866
Bacon Francis,M,1909–1992,1909,1992,"Dublin, Éire","Madrid, España",http://www.tate.org.uk/art/artists/francis-bacon-682
Bacon John,M,1740–1799,1740,1799,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-bacon-18070
Bacon John Henry F.,M,1868–1915,1868,1915,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-henry-f-bacon-683
Bacon Sir Nathaniel,M,1585–1627,1585,1627,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/sir-nathaniel-bacon-2370
Baehnisch Ruth,M,1910–1997,1910,1997,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918
Baer Jo,F,born 1929,1929,1981,"Seattle, United States",Unknown,http://www.tate.org.uk/art/artists/jo-baer-684
Baertling Olle,M,1911–1981,1911,1981,"Halmstad, Sverige","Stockholm, Sverige",http://www.tate.org.uk/art/artists/olle-baertling-685
Baily Edward Hodges,M,1788–1867,1788,1867,"Bristol, United Kingdom","Islington, United Kingdom",http://www.tate.org.uk/art/artists/edward-hodges-baily-16
Baj Enrico,M,1924–2003,1924,2003,"Milano, Italia",Unknown,http://www.tate.org.uk/art/artists/enrico-baj-686
Bakhshi Moakhar Mahmoud,M,born 1977,1977,1958,"Tehran, Îran",Unknown,http://www.tate.org.uk/art/artists/mahmoud-bakhshi-moakhar-13678
Baldessari John,M,born 1931,1931,1958,"National City, United States",Unknown,http://www.tate.org.uk/art/artists/john-baldessari-687
Balka Miroslaw,M,born 1958,1958,1958,"Warszawa, Polska",Unknown,http://www.tate.org.uk/art/artists/miroslaw-balka-2360
Balla Giacomo,M,1871–1958,1871,1958,"Torino, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/giacomo-balla-688
Ballen Roger,M,born 1950,1950,1971,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/roger-ballen-12038
Baltz Lewis,M,born 1945,1945,1971,"Newport Beach, United States",Unknown,http://www.tate.org.uk/art/artists/lewis-baltz-5373
Banc Jef,M,born 1930,1930,1971,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/jef-banc-690
Banner Fiona,F,born 1966,1966,1971,"England, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/fiona-banner-2687
Banting John,M,1902–1971,1902,1971,"Chelsea, United Kingdom","Hastings, United Kingdom",http://www.tate.org.uk/art/artists/john-banting-691
Baran Stefan,M,born 1922,1922,1831,"Dormans, France",Unknown,http://www.tate.org.uk/art/artists/stefan-baran-692
Barclay Claire,F,born 1968,1968,1831,"Paisley, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/claire-barclay-4731
Barenger James,M,1780–1831,1780,1831,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barenger-18
Barham Anna,F,born 1974,1974,1847,"Sutton Coldfield, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/anna-barham-12686
Barker Clive,M,born 1940,1940,1847,"Luton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/clive-barker-693
Barker Margaret,F,born 1907,1907,1847,"Sydenham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/margaret-barker-694
Barker Thomas of Bath,M,1769–1847,1769,1847,"Pontypool, United Kingdom","Bath, United Kingdom",http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19
Barlach Ernst,M,1870–1938,1870,1938,"Wedel, Deutschland","Rostock, Deutschland",http://www.tate.org.uk/art/artists/ernst-barlach-695
Barlow Francis,M,?1626–1704,1626,1704,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/francis-barlow-20
Barlow Phyllida,F,born 1944,1944,1818,"Newcastle upon Tyne, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/phyllida-barlow-10908
Barnard Rev. William Henry,M,1767 or 9–1818,1767,1818,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/rev-william-henry-barnard-2476
Barney Matthew,M,born 1967,1967,2004,"San Francisco, United States",Unknown,http://www.tate.org.uk/art/artists/matthew-barney-2362
Barni Roberto,M,born 1939,1939,2004,"Pistoia, Italia",Unknown,http://www.tate.org.uk/art/artists/roberto-barni-696
Barns-Graham Wilhelmina,F,1912–2004,1912,2004,"Saint Andrews, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/wilhelmina-barns-graham-697
Barrada Yto,F,born 1971,1971,1842,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/yto-barrada-14953
Barret George Junior,M,1767–1842,1767,1842,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-junior-22
Barret George Senior,M,1728 or 32–1784,1728,1784,"Dublin, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-senior-21
Barriball Anna,F,born 1972,1972,1791,"Plymouth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/anna-barriball-10168
Barron Hugh,M,1747–1791,1747,1791,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/hugh-barron-23
Barros Geraldo de,M,1923–1998,1923,1998,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/geraldo-de-barros-14311
Barrow Joseph Charles,M,active 1789–1802,1789,1802,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/joseph-charles-barrow-2477
Barry James,M,1741–1806,1741,1806,"Cork, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barry-24
Bartana Yael,F,born 1970,1970,1815,"‘Afula, Yisra'el",Unknown,http://www.tate.org.uk/art/artists/yael-bartana-6882
Barth Uta,F,born 1958,1958,1815,"Berlin, Deutschland",Unknown,http://www.tate.org.uk/art/artists/uta-barth-2678
Bartlett Jennifer,F,born 1941,1941,1815,"Long Beach, United States",Unknown,http://www.tate.org.uk/art/artists/jennifer-bartlett-698
Bartolozzi Francesco,M,1727–1815,1727,1815,"Firenze, Italia","Lisboa, Portugal",http://www.tate.org.uk/art/artists/francesco-bartolozzi-2478
Basbaum Ricardo,M,born 1961,1961,2000,"São Paulo, Brasil",Unknown,http://www.tate.org.uk/art/artists/ricardo-basbaum-6217
Baselitz Georg,M,born 1938,1938,2000,"Sachsen, Deutschland",Unknown,http://www.tate.org.uk/art/artists/georg-baselitz-699
Baskin Leonard,M,1922–2000,1922,2000,"New Brunswick, United States","Northampton, United States",http://www.tate.org.uk/art/artists/leonard-baskin-700
Batchelor David,M,born 1955,1955,1849,"Dundee, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-batchelor-4915
Bateman James,M,1815–1849,1815,1849,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/james-bateman-25
Bates Harry,M,1850–1899,1850,1899,"Stevenage, United Kingdom","Saint John's Wood, United Kingdom",http://www.tate.org.uk/art/artists/harry-bates-26
Bates Maxwell,M,1906–1980,1906,1980,"Calgary, Canada","Victoria, Canada",http://www.tate.org.uk/art/artists/maxwell-bates-702
Batterham Richard,M,born 1936,1936,1958,United Kingdom,Unknown,http://www.tate.org.uk/art/artists/richard-batterham-8807
Bauchant André,M,1873–1958,1873,1958,"Château-Renault, France","Montoire-sur-le-Loir, France",http://www.tate.org.uk/art/artists/andre-bauchant-703
Bauer Marius,M,1867–1932,1867,1932,"s Gravenhage, Nederland","Amsterdam, Nederland",http://www.tate.org.uk/art/artists/marius-bauer-704
Baumeister Willi,M,1889–1955,1889,1955,"Stuttgart, Deutschland","Stuttgart, Deutschland",http://www.tate.org.uk/art/artists/willi-baumeister-705
Baumgarten Lothar,M,born 1944,1944,1989,"Rheinsberg, Deutschland",Unknown,http://www.tate.org.uk/art/artists/lothar-baumgarten-706
Bawden Edward,M,1903–1989,1903,1989,Braintree,"Essex, United Kingdom",http://www.tate.org.uk/art/artists/edward-bawden-707
Bawden Richard,M,born 1936,1936,1947,"Essex, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/richard-bawden-708
Baxter Glen,M,born 1944,1944,1947,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/glen-baxter-709
Baxter Iain,M,born 1936,1936,1947,"England, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/iain-baxter-710
